#T(K) viscosity SVP(Pa*s)	viscosity 4.4atm(Pa*s)	Source: Donnelly (SVP) and Goodwin (4.4atm), polynomial fit between 2.15 and 2.3K
3.026	3.52E-06	4.20E-06
3.027	3.52E-06	4.20E-06
3.028	3.52E-06	4.20E-06
3.029	3.52E-06	4.20E-06
3.03	3.52E-06	4.20E-06
3.031	3.52E-06	4.20E-06
3.032	3.52E-06	4.20E-06
3.033	3.52E-06	4.20E-06
3.034	3.52E-06	4.20E-06
3.035	3.52E-06	4.20E-06
3.036	3.52E-06	4.20E-06
3.037	3.52E-06	4.20E-06
3.038	3.52E-06	4.20E-06
3.039	3.52E-06	4.20E-06
3.04	3.52E-06	4.20E-06
3.041	3.52E-06	4.20E-06
3.042	3.52E-06	4.20E-06
3.043	3.52E-06	4.20E-06
3.044	3.52E-06	4.20E-06
3.045	3.52E-06	4.20E-06
3.046	3.52E-06	4.20E-06
3.047	3.52E-06	4.20E-06
3.048	3.52E-06	4.20E-06
3.049	3.52E-06	4.20E-06
3.05	3.52E-06	4.20E-06
3.051	3.52E-06	4.20E-06
3.052	3.52E-06	4.20E-06
3.053	3.52E-06	4.20E-06
3.054	3.52E-06	4.20E-06
3.055	3.52E-06	4.20E-06
3.056	3.52E-06	4.20E-06
3.057	3.52E-06	4.20E-06
3.058	3.52E-06	4.20E-06
3.059	3.52E-06	4.20E-06
3.06	3.52E-06	4.20E-06
3.061	3.52E-06	4.20E-06
3.062	3.52E-06	4.20E-06
3.063	3.52E-06	4.20E-06
3.064	3.52E-06	4.20E-06
3.065	3.52E-06	4.20E-06
3.066	3.52E-06	4.20E-06
3.067	3.52E-06	4.20E-06
3.068	3.52E-06	4.20E-06
3.069	3.52E-06	4.20E-06
3.07	3.52E-06	4.20E-06
3.071	3.52E-06	4.20E-06
3.072	3.52E-06	4.20E-06
3.073	3.52E-06	4.20E-06
3.074	3.52E-06	4.20E-06
3.075	3.52E-06	4.20E-06
3.076	3.53E-06	4.20E-06
3.077	3.53E-06	4.20E-06
3.078	3.53E-06	4.20E-06
3.079	3.53E-06	4.20E-06
3.08	3.53E-06	4.21E-06
3.081	3.53E-06	4.21E-06
3.082	3.53E-06	4.21E-06
3.083	3.53E-06	4.21E-06
3.084	3.53E-06	4.21E-06
3.085	3.53E-06	4.21E-06
3.086	3.53E-06	4.21E-06
3.087	3.53E-06	4.21E-06
3.088	3.53E-06	4.21E-06
3.089	3.53E-06	4.21E-06
3.09	3.53E-06	4.21E-06
3.091	3.53E-06	4.21E-06
3.092	3.53E-06	4.21E-06
3.093	3.53E-06	4.21E-06
3.094	3.53E-06	4.21E-06
3.095	3.53E-06	4.21E-06
3.096	3.53E-06	4.21E-06
3.097	3.53E-06	4.21E-06
3.098	3.53E-06	4.21E-06
3.099	3.53E-06	4.21E-06
3.1	3.53E-06	4.21E-06
3.101	3.53E-06	4.21E-06
3.102	3.53E-06	4.21E-06
3.103	3.53E-06	4.21E-06
3.104	3.53E-06	4.21E-06
3.105	3.53E-06	4.21E-06
3.106	3.53E-06	4.21E-06
3.107	3.53E-06	4.21E-06
3.108	3.53E-06	4.21E-06
3.109	3.53E-06	4.21E-06
3.11	3.53E-06	4.21E-06
3.111	3.53E-06	4.21E-06
3.112	3.53E-06	4.21E-06
3.113	3.53E-06	4.21E-06
3.114	3.53E-06	4.21E-06
3.115	3.53E-06	4.21E-06
3.116	3.53E-06	4.21E-06
3.117	3.53E-06	4.21E-06
3.118	3.53E-06	4.21E-06
3.119	3.53E-06	4.21E-06
3.12	3.53E-06	4.21E-06
3.121	3.53E-06	4.21E-06
3.122	3.53E-06	4.21E-06
3.123	3.53E-06	4.21E-06
3.124	3.53E-06	4.21E-06
3.125	3.53E-06	4.21E-06
3.126	3.53E-06	4.21E-06
3.127	3.53E-06	4.21E-06
3.128	3.53E-06	4.21E-06
3.129	3.53E-06	4.21E-06
3.13	3.53E-06	4.21E-06
3.131	3.53E-06	4.21E-06
3.132	3.53E-06	4.21E-06
3.133	3.53E-06	4.21E-06
3.134	3.53E-06	4.21E-06
3.135	3.53E-06	4.21E-06
3.136	3.53E-06	4.21E-06
3.137	3.53E-06	4.21E-06
3.138	3.53E-06	4.21E-06
3.139	3.53E-06	4.21E-06
3.14	3.53E-06	4.21E-06
3.141	3.53E-06	4.21E-06
3.142	3.53E-06	4.21E-06
3.143	3.53E-06	4.21E-06
3.144	3.53E-06	4.21E-06
3.145	3.53E-06	4.21E-06
3.146	3.53E-06	4.21E-06
3.147	3.53E-06	4.21E-06
3.148	3.53E-06	4.21E-06
3.149	3.53E-06	4.21E-06
3.15	3.53E-06	4.21E-06
3.151	3.53E-06	4.21E-06
3.152	3.53E-06	4.21E-06
3.153	3.53E-06	4.21E-06
3.154	3.53E-06	4.21E-06
3.155	3.53E-06	4.21E-06
3.156	3.53E-06	4.21E-06
3.157	3.53E-06	4.21E-06
3.158	3.53E-06	4.21E-06
3.159	3.53E-06	4.21E-06
3.16	3.53E-06	4.21E-06
3.161	3.53E-06	4.21E-06
3.162	3.53E-06	4.21E-06
3.163	3.53E-06	4.21E-06
3.164	3.53E-06	4.21E-06
3.165	3.53E-06	4.21E-06
3.166	3.53E-06	4.21E-06
3.167	3.53E-06	4.21E-06
3.168	3.53E-06	4.21E-06
3.169	3.53E-06	4.21E-06
3.17	3.53E-06	4.21E-06
3.171	3.53E-06	4.21E-06
3.172	3.53E-06	4.21E-06
3.173	3.53E-06	4.21E-06
3.174	3.53E-06	4.21E-06
3.175	3.53E-06	4.21E-06
3.176	3.53E-06	4.21E-06
3.177	3.53E-06	4.21E-06
3.178	3.53E-06	4.21E-06
3.179	3.53E-06	4.21E-06
3.18	3.53E-06	4.21E-06
3.181	3.53E-06	4.21E-06
3.182	3.53E-06	4.21E-06
3.183	3.53E-06	4.21E-06
3.184	3.53E-06	4.21E-06
3.185	3.53E-06	4.21E-06
3.186	3.53E-06	4.21E-06
3.187	3.53E-06	4.21E-06
3.188	3.53E-06	4.21E-06
3.189	3.53E-06	4.21E-06
3.19	3.53E-06	4.21E-06
3.191	3.53E-06	4.21E-06
3.192	3.53E-06	4.21E-06
3.193	3.53E-06	4.21E-06
3.194	3.53E-06	4.21E-06
3.195	3.53E-06	4.21E-06
3.196	3.53E-06	4.21E-06
3.197	3.53E-06	4.21E-06
3.198	3.53E-06	4.21E-06
3.199	3.53E-06	4.21E-06
3.2	3.53E-06	4.21E-06
3.201	3.53E-06	4.21E-06
3.202	3.53E-06	4.21E-06
3.203	3.53E-06	4.21E-06
3.204	3.53E-06	4.21E-06
3.205	3.53E-06	4.21E-06
3.206	3.53E-06	4.21E-06
3.207	3.53E-06	4.21E-06
3.208	3.53E-06	4.21E-06
3.209	3.53E-06	4.21E-06
3.21	3.53E-06	4.21E-06
3.211	3.53E-06	4.21E-06
3.212	3.53E-06	4.21E-06
3.213	3.53E-06	4.21E-06
3.214	3.53E-06	4.21E-06
3.215	3.53E-06	4.21E-06
3.216	3.53E-06	4.21E-06
3.217	3.53E-06	4.21E-06
3.218	3.53E-06	4.21E-06
3.219	3.53E-06	4.21E-06
3.22	3.53E-06	4.21E-06
3.221	3.53E-06	4.21E-06
3.222	3.53E-06	4.21E-06
3.223	3.53E-06	4.21E-06
3.224	3.53E-06	4.21E-06
3.225	3.53E-06	4.21E-06
3.226	3.53E-06	4.21E-06
3.227	3.53E-06	4.21E-06
3.228	3.53E-06	4.21E-06
3.229	3.53E-06	4.21E-06
3.23	3.53E-06	4.21E-06
3.231	3.53E-06	4.21E-06
3.232	3.53E-06	4.21E-06
3.233	3.53E-06	4.21E-06
3.234	3.53E-06	4.21E-06
3.235	3.53E-06	4.21E-06
3.236	3.53E-06	4.21E-06
3.237	3.53E-06	4.21E-06
3.238	3.53E-06	4.21E-06
3.239	3.53E-06	4.21E-06
3.24	3.53E-06	4.21E-06
3.241	3.53E-06	4.21E-06
3.242	3.53E-06	4.21E-06
3.243	3.53E-06	4.21E-06
3.244	3.53E-06	4.21E-06
3.245	3.53E-06	4.21E-06
3.246	3.53E-06	4.21E-06
3.247	3.53E-06	4.21E-06
3.248	3.53E-06	4.21E-06
3.249	3.53E-06	4.21E-06
3.25	3.53E-06	4.21E-06
3.251	3.53E-06	4.21E-06
3.252	3.53E-06	4.21E-06
3.253	3.53E-06	4.21E-06
3.254	3.53E-06	4.21E-06
3.255	3.53E-06	4.21E-06
3.256	3.53E-06	4.21E-06
3.257	3.53E-06	4.21E-06
3.258	3.53E-06	4.21E-06
3.259	3.53E-06	4.21E-06
3.26	3.53E-06	4.21E-06
3.261	3.53E-06	4.21E-06
3.262	3.53E-06	4.21E-06
3.263	3.53E-06	4.21E-06
3.264	3.53E-06	4.21E-06
3.265	3.53E-06	4.21E-06
3.266	3.53E-06	4.21E-06
3.267	3.53E-06	4.21E-06
3.268	3.53E-06	4.21E-06
3.269	3.53E-06	4.21E-06
3.27	3.53E-06	4.21E-06
3.271	3.53E-06	4.21E-06
3.272	3.53E-06	4.21E-06
3.273	3.53E-06	4.21E-06
3.274	3.53E-06	4.21E-06
3.275	3.53E-06	4.21E-06
3.276	3.53E-06	4.21E-06
3.277	3.53E-06	4.20E-06
3.278	3.53E-06	4.20E-06
3.279	3.53E-06	4.20E-06
3.28	3.53E-06	4.20E-06
3.281	3.53E-06	4.20E-06
3.282	3.53E-06	4.20E-06
3.283	3.53E-06	4.20E-06
3.284	3.53E-06	4.20E-06
3.285	3.53E-06	4.20E-06
3.286	3.53E-06	4.20E-06
3.287	3.53E-06	4.20E-06
3.288	3.53E-06	4.20E-06
3.289	3.53E-06	4.20E-06
3.29	3.53E-06	4.20E-06
3.291	3.53E-06	4.20E-06
3.292	3.53E-06	4.20E-06
3.293	3.53E-06	4.20E-06
3.294	3.53E-06	4.20E-06
3.295	3.53E-06	4.20E-06
3.296	3.53E-06	4.20E-06
3.297	3.53E-06	4.20E-06
3.298	3.53E-06	4.20E-06
3.299	3.53E-06	4.20E-06
3.3	3.53E-06	4.20E-06
3.301	3.53E-06	4.20E-06
3.302	3.53E-06	4.20E-06
3.303	3.53E-06	4.20E-06
3.304	3.53E-06	4.20E-06
3.305	3.53E-06	4.20E-06
3.306	3.53E-06	4.20E-06
3.307	3.53E-06	4.20E-06
3.308	3.53E-06	4.20E-06
3.309	3.53E-06	4.20E-06
3.31	3.53E-06	4.20E-06
3.311	3.53E-06	4.20E-06
3.312	3.53E-06	4.20E-06
3.313	3.53E-06	4.20E-06
3.314	3.53E-06	4.20E-06
3.315	3.53E-06	4.20E-06
3.316	3.53E-06	4.20E-06
3.317	3.53E-06	4.20E-06
3.318	3.53E-06	4.20E-06
3.319	3.53E-06	4.20E-06
3.32	3.53E-06	4.20E-06
3.321	3.53E-06	4.20E-06
3.322	3.53E-06	4.20E-06
3.323	3.53E-06	4.20E-06
3.324	3.53E-06	4.20E-06
3.325	3.53E-06	4.20E-06
3.326	3.53E-06	4.20E-06
3.327	3.53E-06	4.20E-06
3.328	3.53E-06	4.20E-06
3.329	3.53E-06	4.20E-06
3.33	3.53E-06	4.19E-06
3.331	3.53E-06	4.19E-06
3.332	3.53E-06	4.19E-06
3.333	3.53E-06	4.19E-06
3.334	3.53E-06	4.19E-06
3.335	3.53E-06	4.19E-06
3.336	3.53E-06	4.19E-06
3.337	3.53E-06	4.19E-06
3.338	3.53E-06	4.19E-06
3.339	3.53E-06	4.19E-06
3.34	3.53E-06	4.19E-06
3.341	3.53E-06	4.19E-06
3.342	3.53E-06	4.19E-06
3.343	3.53E-06	4.19E-06
3.344	3.53E-06	4.19E-06
3.345	3.53E-06	4.19E-06
3.346	3.53E-06	4.19E-06
3.347	3.53E-06	4.19E-06
3.348	3.53E-06	4.19E-06
3.349	3.53E-06	4.19E-06
3.35	3.53E-06	4.19E-06
3.351	3.53E-06	4.19E-06
3.352	3.53E-06	4.19E-06
3.353	3.53E-06	4.19E-06
3.354	3.53E-06	4.19E-06
3.355	3.53E-06	4.19E-06
3.356	3.53E-06	4.19E-06
3.357	3.53E-06	4.19E-06
3.358	3.53E-06	4.19E-06
3.359	3.53E-06	4.19E-06
3.36	3.53E-06	4.19E-06
3.361	3.53E-06	4.19E-06
3.362	3.53E-06	4.19E-06
3.363	3.53E-06	4.19E-06
3.364	3.53E-06	4.19E-06
3.365	3.53E-06	4.19E-06
3.366	3.53E-06	4.19E-06
3.367	3.53E-06	4.19E-06
3.368	3.53E-06	4.19E-06
3.369	3.53E-06	4.18E-06
3.37	3.53E-06	4.18E-06
3.371	3.53E-06	4.18E-06
3.372	3.53E-06	4.18E-06
3.373	3.53E-06	4.18E-06
3.374	3.53E-06	4.18E-06
3.375	3.52E-06	4.18E-06
3.376	3.52E-06	4.18E-06
3.377	3.52E-06	4.18E-06
3.378	3.52E-06	4.18E-06
3.379	3.52E-06	4.18E-06
3.38	3.52E-06	4.18E-06
3.381	3.52E-06	4.18E-06
3.382	3.52E-06	4.18E-06
3.383	3.52E-06	4.18E-06
3.384	3.52E-06	4.18E-06
3.385	3.52E-06	4.18E-06
3.386	3.52E-06	4.18E-06
3.387	3.52E-06	4.18E-06
3.388	3.52E-06	4.18E-06
3.389	3.52E-06	4.18E-06
3.39	3.52E-06	4.18E-06
3.391	3.52E-06	4.18E-06
3.392	3.52E-06	4.18E-06
3.393	3.52E-06	4.18E-06
3.394	3.52E-06	4.18E-06
3.395	3.52E-06	4.18E-06
3.396	3.52E-06	4.18E-06
3.397	3.52E-06	4.18E-06
3.398	3.52E-06	4.18E-06
3.399	3.52E-06	4.18E-06
3.4	3.52E-06	4.18E-06
3.401	3.52E-06	4.18E-06
3.402	3.52E-06	4.17E-06
3.403	3.52E-06	4.17E-06
3.404	3.52E-06	4.17E-06
3.405	3.52E-06	4.17E-06
3.406	3.52E-06	4.17E-06
3.407	3.52E-06	4.17E-06
3.408	3.52E-06	4.17E-06
3.409	3.52E-06	4.17E-06
3.41	3.52E-06	4.17E-06
3.411	3.52E-06	4.17E-06
3.412	3.52E-06	4.17E-06
3.413	3.52E-06	4.17E-06
3.414	3.52E-06	4.17E-06
3.415	3.52E-06	4.17E-06
3.416	3.52E-06	4.17E-06
3.417	3.52E-06	4.17E-06
3.418	3.52E-06	4.17E-06
3.419	3.52E-06	4.17E-06
3.42	3.52E-06	4.17E-06
3.421	3.52E-06	4.17E-06
3.422	3.52E-06	4.17E-06
3.423	3.52E-06	4.17E-06
3.424	3.52E-06	4.17E-06
3.425	3.52E-06	4.17E-06
3.426	3.52E-06	4.17E-06
3.427	3.52E-06	4.17E-06
3.428	3.52E-06	4.17E-06
3.429	3.52E-06	4.17E-06
3.43	3.52E-06	4.17E-06
3.431	3.52E-06	4.16E-06
3.432	3.52E-06	4.16E-06
3.433	3.52E-06	4.16E-06
3.434	3.52E-06	4.16E-06
3.435	3.52E-06	4.16E-06
3.436	3.52E-06	4.16E-06
3.437	3.52E-06	4.16E-06
3.438	3.52E-06	4.16E-06
3.439	3.52E-06	4.16E-06
3.44	3.52E-06	4.16E-06
3.441	3.52E-06	4.16E-06
3.442	3.52E-06	4.16E-06
3.443	3.52E-06	4.16E-06
3.444	3.52E-06	4.16E-06
3.445	3.52E-06	4.16E-06
3.446	3.52E-06	4.16E-06
3.447	3.52E-06	4.16E-06
3.448	3.52E-06	4.16E-06
3.449	3.52E-06	4.16E-06
3.45	3.52E-06	4.16E-06
3.451	3.52E-06	4.16E-06
3.452	3.52E-06	4.16E-06
3.453	3.52E-06	4.16E-06
3.454	3.52E-06	4.16E-06
3.455	3.52E-06	4.16E-06
3.456	3.52E-06	4.16E-06
3.457	3.52E-06	4.16E-06
3.458	3.52E-06	4.15E-06
3.459	3.52E-06	4.15E-06
3.46	3.52E-06	4.15E-06
3.461	3.52E-06	4.15E-06
3.462	3.52E-06	4.15E-06
3.463	3.52E-06	4.15E-06
3.464	3.52E-06	4.15E-06
3.465	3.52E-06	4.15E-06
3.466	3.52E-06	4.15E-06
3.467	3.52E-06	4.15E-06
3.468	3.52E-06	4.15E-06
3.469	3.52E-06	4.15E-06
3.47	3.52E-06	4.15E-06
3.471	3.52E-06	4.15E-06
3.472	3.52E-06	4.15E-06
3.473	3.52E-06	4.15E-06
3.474	3.52E-06	4.15E-06
3.475	3.52E-06	4.15E-06
3.476	3.52E-06	4.15E-06
3.477	3.52E-06	4.15E-06
3.478	3.52E-06	4.15E-06
3.479	3.52E-06	4.15E-06
3.48	3.51E-06	4.15E-06
3.481	3.51E-06	4.15E-06
3.482	3.51E-06	4.14E-06
3.483	3.51E-06	4.14E-06
3.484	3.51E-06	4.14E-06
3.485	3.51E-06	4.14E-06
3.486	3.51E-06	4.14E-06
3.487	3.51E-06	4.14E-06
3.488	3.51E-06	4.14E-06
3.489	3.51E-06	4.14E-06
3.49	3.51E-06	4.14E-06
3.491	3.51E-06	4.14E-06
3.492	3.51E-06	4.14E-06
3.493	3.51E-06	4.14E-06
3.494	3.51E-06	4.14E-06
3.495	3.51E-06	4.14E-06
3.496	3.51E-06	4.14E-06
3.497	3.51E-06	4.14E-06
3.498	3.51E-06	4.14E-06
3.499	3.51E-06	4.14E-06
3.5	3.51E-06	4.14E-06
3.501	3.51E-06	4.14E-06
3.502	3.51E-06	4.14E-06
3.503	3.51E-06	4.14E-06
3.504	3.51E-06	4.14E-06
3.505	3.51E-06	4.13E-06
3.506	3.51E-06	4.13E-06
3.507	3.51E-06	4.13E-06
3.508	3.51E-06	4.13E-06
3.509	3.51E-06	4.13E-06
3.51	3.51E-06	4.13E-06
3.511	3.51E-06	4.13E-06
3.512	3.51E-06	4.13E-06
3.513	3.51E-06	4.13E-06
3.514	3.51E-06	4.13E-06
3.515	3.51E-06	4.13E-06
3.516	3.51E-06	4.13E-06
3.517	3.51E-06	4.13E-06
3.518	3.51E-06	4.13E-06
3.519	3.51E-06	4.13E-06
3.52	3.51E-06	4.13E-06
3.521	3.51E-06	4.13E-06
3.522	3.51E-06	4.13E-06
3.523	3.50E-06	4.13E-06
3.524	3.50E-06	4.13E-06
3.525	3.50E-06	4.13E-06
3.526	3.50E-06	4.12E-06
3.527	3.50E-06	4.12E-06
3.528	3.50E-06	4.12E-06
3.529	3.50E-06	4.12E-06
3.53	3.50E-06	4.12E-06
3.531	3.50E-06	4.12E-06
3.532	3.50E-06	4.12E-06
3.533	3.50E-06	4.12E-06
3.534	3.50E-06	4.12E-06
3.535	3.50E-06	4.12E-06
3.536	3.50E-06	4.12E-06
3.537	3.50E-06	4.12E-06
3.538	3.50E-06	4.12E-06
3.539	3.50E-06	4.12E-06
3.54	3.50E-06	4.12E-06
3.541	3.50E-06	4.12E-06
3.542	3.50E-06	4.12E-06
3.543	3.50E-06	4.12E-06
3.544	3.50E-06	4.12E-06
3.545	3.50E-06	4.12E-06
3.546	3.50E-06	4.11E-06
3.547	3.50E-06	4.11E-06
3.548	3.50E-06	4.11E-06
3.549	3.50E-06	4.11E-06
3.55	3.50E-06	4.11E-06
3.551	3.50E-06	4.11E-06
3.552	3.50E-06	4.11E-06
3.553	3.50E-06	4.11E-06
3.554	3.50E-06	4.11E-06
3.555	3.50E-06	4.11E-06
3.556	3.50E-06	4.11E-06
3.557	3.50E-06	4.11E-06
3.558	3.50E-06	4.11E-06
3.559	3.50E-06	4.11E-06
3.56	3.50E-06	4.11E-06
3.561	3.50E-06	4.11E-06
3.562	3.50E-06	4.11E-06
3.563	3.50E-06	4.11E-06
3.564	3.50E-06	4.11E-06
3.565	3.50E-06	4.11E-06
3.566	3.50E-06	4.10E-06
3.567	3.50E-06	4.10E-06
3.568	3.50E-06	4.10E-06
3.569	3.50E-06	4.10E-06
3.57	3.50E-06	4.10E-06
3.571	3.50E-06	4.10E-06
3.572	3.50E-06	4.10E-06
3.573	3.50E-06	4.10E-06
3.574	3.50E-06	4.10E-06
3.575	3.50E-06	4.10E-06
3.576	3.50E-06	4.10E-06
3.577	3.50E-06	4.10E-06
3.578	3.50E-06	4.10E-06
3.579	3.50E-06	4.10E-06
3.58	3.50E-06	4.10E-06
3.581	3.50E-06	4.10E-06
3.582	3.49E-06	4.10E-06
3.583	3.49E-06	4.10E-06
3.584	3.49E-06	4.09E-06
3.585	3.49E-06	4.09E-06
3.586	3.49E-06	4.09E-06
3.587	3.49E-06	4.09E-06
3.588	3.49E-06	4.09E-06
3.589	3.49E-06	4.09E-06
3.59	3.49E-06	4.09E-06
3.591	3.49E-06	4.09E-06
3.592	3.49E-06	4.09E-06
3.593	3.49E-06	4.09E-06
3.594	3.49E-06	4.09E-06
3.595	3.49E-06	4.09E-06
3.596	3.49E-06	4.09E-06
3.597	3.49E-06	4.09E-06
3.598	3.49E-06	4.09E-06
3.599	3.49E-06	4.09E-06
3.6	3.49E-06	4.09E-06
3.601	3.49E-06	4.09E-06
3.602	3.49E-06	4.08E-06
3.603	3.49E-06	4.08E-06
3.604	3.49E-06	4.08E-06
3.605	3.49E-06	4.08E-06
3.606	3.49E-06	4.08E-06
3.607	3.49E-06	4.08E-06
3.608	3.49E-06	4.08E-06
3.609	3.49E-06	4.08E-06
3.61	3.49E-06	4.08E-06
3.611	3.49E-06	4.08E-06
3.612	3.49E-06	4.08E-06
3.613	3.48E-06	4.08E-06
3.614	3.48E-06	4.08E-06
3.615	3.48E-06	4.08E-06
3.616	3.48E-06	4.08E-06
3.617	3.48E-06	4.08E-06
3.618	3.48E-06	4.08E-06
3.619	3.48E-06	4.07E-06
3.62	3.48E-06	4.07E-06
3.621	3.48E-06	4.07E-06
3.622	3.48E-06	4.07E-06
3.623	3.48E-06	4.07E-06
3.624	3.48E-06	4.07E-06
3.625	3.48E-06	4.07E-06
3.626	3.48E-06	4.07E-06
3.627	3.48E-06	4.07E-06
3.628	3.48E-06	4.07E-06
3.629	3.48E-06	4.07E-06
3.63	3.48E-06	4.07E-06
3.631	3.48E-06	4.07E-06
3.632	3.48E-06	4.07E-06
3.633	3.48E-06	4.07E-06
3.634	3.48E-06	4.07E-06
3.635	3.48E-06	4.07E-06
3.636	3.48E-06	4.06E-06
3.637	3.47E-06	4.06E-06
3.638	3.47E-06	4.06E-06
3.639	3.47E-06	4.06E-06
3.64	3.47E-06	4.06E-06
3.641	3.47E-06	4.06E-06
3.642	3.47E-06	4.06E-06
3.643	3.47E-06	4.06E-06
3.644	3.47E-06	4.06E-06
3.645	3.47E-06	4.06E-06
3.646	3.47E-06	4.06E-06
3.647	3.47E-06	4.06E-06
3.648	3.47E-06	4.06E-06
3.649	3.47E-06	4.06E-06
3.65	3.47E-06	4.06E-06
3.651	3.47E-06	4.06E-06
3.652	3.47E-06	4.06E-06
3.653	3.47E-06	4.05E-06
3.654	3.47E-06	4.05E-06
3.655	3.47E-06	4.05E-06
3.656	3.47E-06	4.05E-06
3.657	3.47E-06	4.05E-06
3.658	3.47E-06	4.05E-06
3.659	3.47E-06	4.05E-06
3.66	3.47E-06	4.05E-06
3.661	3.47E-06	4.05E-06
3.662	3.47E-06	4.05E-06
3.663	3.47E-06	4.05E-06
3.664	3.47E-06	4.05E-06
3.665	3.47E-06	4.05E-06
3.666	3.47E-06	4.05E-06
3.667	3.47E-06	4.05E-06
3.668	3.47E-06	4.04E-06
3.669	3.47E-06	4.04E-06
3.67	3.47E-06	4.04E-06
3.671	3.47E-06	4.04E-06
3.672	3.47E-06	4.04E-06
3.673	3.47E-06	4.04E-06
3.674	3.47E-06	4.04E-06
3.675	3.46E-06	4.04E-06
3.676	3.46E-06	4.04E-06
3.677	3.46E-06	4.04E-06
3.678	3.46E-06	4.04E-06
3.679	3.46E-06	4.04E-06
3.68	3.46E-06	4.04E-06
3.681	3.46E-06	4.04E-06
3.682	3.46E-06	4.04E-06
3.683	3.46E-06	4.04E-06
3.684	3.46E-06	4.03E-06
3.685	3.46E-06	4.03E-06
3.686	3.46E-06	4.03E-06
3.687	3.46E-06	4.03E-06
3.688	3.46E-06	4.03E-06
3.689	3.46E-06	4.03E-06
3.69	3.46E-06	4.03E-06
3.691	3.46E-06	4.03E-06
3.692	3.46E-06	4.03E-06
3.693	3.46E-06	4.03E-06
3.694	3.46E-06	4.03E-06
3.695	3.46E-06	4.03E-06
3.696	3.46E-06	4.03E-06
3.697	3.46E-06	4.03E-06
3.698	3.46E-06	4.03E-06
3.699	3.46E-06	4.02E-06
3.7	3.46E-06	4.02E-06
3.701	3.46E-06	4.02E-06
3.702	3.46E-06	4.02E-06
3.703	3.46E-06	4.02E-06
3.704	3.46E-06	4.02E-06
3.705	3.46E-06	4.02E-06
3.706	3.46E-06	4.02E-06
3.707	3.46E-06	4.02E-06
3.708	3.46E-06	4.02E-06
3.709	3.46E-06	4.02E-06
3.71	3.46E-06	4.02E-06
3.711	3.46E-06	4.02E-06
3.712	3.46E-06	4.02E-06
3.713	3.46E-06	4.02E-06
3.714	3.46E-06	4.01E-06
3.715	3.45E-06	4.01E-06
3.716	3.45E-06	4.01E-06
3.717	3.45E-06	4.01E-06
3.718	3.45E-06	4.01E-06
3.719	3.45E-06	4.01E-06
3.72	3.45E-06	4.01E-06
3.721	3.45E-06	4.01E-06
3.722	3.45E-06	4.01E-06
3.723	3.45E-06	4.01E-06
3.724	3.45E-06	4.01E-06
3.725	3.45E-06	4.01E-06
3.726	3.45E-06	4.01E-06
3.727	3.45E-06	4.01E-06
3.728	3.45E-06	4.00E-06
3.729	3.45E-06	4.00E-06
3.73	3.45E-06	4.00E-06
3.731	3.45E-06	4.00E-06
3.732	3.45E-06	4.00E-06
3.733	3.45E-06	4.00E-06
3.734	3.45E-06	4.00E-06
3.735	3.45E-06	4.00E-06
3.736	3.45E-06	4.00E-06
3.737	3.45E-06	4.00E-06
3.738	3.45E-06	4.00E-06
3.739	3.44E-06	4.00E-06
3.74	3.44E-06	4.00E-06
3.741	3.44E-06	4.00E-06
3.742	3.44E-06	4.00E-06
3.743	3.44E-06	3.99E-06
3.744	3.44E-06	3.99E-06
3.745	3.44E-06	3.99E-06
3.746	3.44E-06	3.99E-06
3.747	3.44E-06	3.99E-06
3.748	3.44E-06	3.99E-06
3.749	3.44E-06	3.99E-06
3.75	3.44E-06	3.99E-06
3.751	3.44E-06	3.99E-06
3.752	3.44E-06	3.99E-06
3.753	3.44E-06	3.99E-06
3.754	3.44E-06	3.99E-06
3.755	3.44E-06	3.99E-06
3.756	3.44E-06	3.98E-06
3.757	3.44E-06	3.98E-06
3.758	3.44E-06	3.98E-06
3.759	3.44E-06	3.98E-06
3.76	3.44E-06	3.98E-06
3.761	3.44E-06	3.98E-06
3.762	3.44E-06	3.98E-06
3.763	3.44E-06	3.98E-06
3.764	3.43E-06	3.98E-06
3.765	3.43E-06	3.98E-06
3.766	3.43E-06	3.98E-06
3.767	3.43E-06	3.98E-06
3.768	3.43E-06	3.98E-06
3.769	3.43E-06	3.98E-06
3.77	3.43E-06	3.97E-06
3.771	3.43E-06	3.97E-06
3.772	3.43E-06	3.97E-06
3.773	3.43E-06	3.97E-06
3.774	3.43E-06	3.97E-06
3.775	3.43E-06	3.97E-06
3.776	3.43E-06	3.97E-06
3.777	3.43E-06	3.97E-06
3.778	3.43E-06	3.97E-06
3.779	3.43E-06	3.97E-06
3.78	3.43E-06	3.97E-06
3.781	3.43E-06	3.97E-06
3.782	3.43E-06	3.97E-06
3.783	3.43E-06	3.97E-06
3.784	3.43E-06	3.96E-06
3.785	3.43E-06	3.96E-06
3.786	3.43E-06	3.96E-06
3.787	3.43E-06	3.96E-06
3.788	3.43E-06	3.96E-06
3.789	3.43E-06	3.96E-06
3.79	3.42E-06	3.96E-06
3.791	3.42E-06	3.96E-06
3.792	3.42E-06	3.96E-06
3.793	3.42E-06	3.96E-06
3.794	3.42E-06	3.96E-06
3.795	3.42E-06	3.96E-06
3.796	3.42E-06	3.96E-06
3.797	3.42E-06	3.95E-06
3.798	3.42E-06	3.95E-06
