#T(K) SVP (Pa) Source : http://pages.uoregon.edu/rjd/vapor18.htm, J. Donnelly
0.6500	1.100000e-01
0.6510	1.126442e-01
0.6520	1.153070e-01
0.6530	1.179899e-01
0.6540	1.206941e-01
0.6550	1.234212e-01
0.6560	1.261724e-01
0.6570	1.289491e-01
0.6580	1.317527e-01
0.6590	1.345846e-01
0.6600	1.374462e-01
0.6610	1.403387e-01
0.6620	1.432637e-01
0.6630	1.462225e-01
0.6640	1.492164e-01
0.6650	1.522468e-01
0.6660	1.553151e-01
0.6670	1.584227e-01
0.6680	1.615710e-01
0.6690	1.647612e-01
0.6700	1.679949e-01
0.6710	1.712733e-01
0.6720	1.745979e-01
0.6730	1.779700e-01
0.6740	1.813910e-01
0.6750	1.848622e-01
0.6760	1.883851e-01
0.6770	1.919610e-01
0.6780	1.955913e-01
0.6790	1.992773e-01
0.6800	2.030205e-01
0.6810	2.068222e-01
0.6820	2.106838e-01
0.6830	2.146067e-01
0.6840	2.185922e-01
0.6850	2.226417e-01
0.6860	2.267566e-01
0.6870	2.309382e-01
0.6880	2.351880e-01
0.6890	2.395073e-01
0.6900	2.438974e-01
0.6910	2.483599e-01
0.6920	2.528959e-01
0.6930	2.575070e-01
0.6940	2.621944e-01
0.6950	2.669596e-01
0.6960	2.718039e-01
0.6970	2.767288e-01
0.6980	2.817355e-01
0.6990	2.868254e-01
0.7000	2.920000e-01
0.7010	2.972606e-01
0.7020	3.026085e-01
0.7030	3.080452e-01
0.7040	3.135721e-01
0.7050	3.191904e-01
0.7060	3.249016e-01
0.7070	3.307070e-01
0.7080	3.366081e-01
0.7090	3.426061e-01
0.7100	3.487026e-01
0.7110	3.548987e-01
0.7120	3.611960e-01
0.7130	3.675958e-01
0.7140	3.740994e-01
0.7150	3.807083e-01
0.7160	3.874238e-01
0.7170	3.942473e-01
0.7180	4.011802e-01
0.7190	4.082238e-01
0.7200	4.153795e-01
0.7210	4.226487e-01
0.7220	4.300327e-01
0.7230	4.375330e-01
0.7240	4.451509e-01
0.7250	4.528878e-01
0.7260	4.607450e-01
0.7270	4.687240e-01
0.7280	4.768261e-01
0.7290	4.850527e-01
0.7300	4.934051e-01
0.7310	5.018848e-01
0.7320	5.104930e-01
0.7330	5.192313e-01
0.7340	5.281009e-01
0.7350	5.371032e-01
0.7360	5.462396e-01
0.7370	5.555115e-01
0.7380	5.649203e-01
0.7390	5.744673e-01
0.7400	5.841538e-01
0.7410	5.939814e-01
0.7420	6.039513e-01
0.7430	6.140649e-01
0.7440	6.243236e-01
0.7450	6.347288e-01
0.7460	6.452819e-01
0.7470	6.559841e-01
0.7480	6.668370e-01
0.7490	6.778418e-01
0.7500	6.890000e-01
0.7510	7.003129e-01
0.7520	7.117823e-01
0.7530	7.234099e-01
0.7540	7.351973e-01
0.7550	7.471463e-01
0.7560	7.592587e-01
0.7570	7.715360e-01
0.7580	7.839802e-01
0.7590	7.965928e-01
0.7600	8.093756e-01
0.7610	8.223303e-01
0.7620	8.354587e-01
0.7630	8.487625e-01
0.7640	8.622433e-01
0.7650	8.759029e-01
0.7660	8.897430e-01
0.7670	9.037654e-01
0.7680	9.179718e-01
0.7690	9.323638e-01
0.7700	9.469432e-01
0.7710	9.617118e-01
0.7720	9.766712e-01
0.7730	9.918231e-01
0.7740	1.007169e+00
0.7750	1.022712e+00
0.7760	1.038452e+00
0.7770	1.054391e+00
0.7780	1.070532e+00
0.7790	1.086875e+00
0.7800	1.103423e+00
0.7810	1.120177e+00
0.7820	1.137140e+00
0.7830	1.154312e+00
0.7840	1.171696e+00
0.7850	1.189293e+00
0.7860	1.207104e+00
0.7870	1.225133e+00
0.7880	1.243380e+00
0.7890	1.261847e+00
0.7900	1.280535e+00
0.7910	1.299447e+00
0.7920	1.318585e+00
0.7930	1.337949e+00
0.7940	1.357542e+00
0.7950	1.377366e+00
0.7960	1.397422e+00
0.7970	1.417711e+00
0.7980	1.438236e+00
0.7990	1.458999e+00
0.8000	1.480000e+00
0.8010	1.501242e+00
0.8020	1.522729e+00
0.8030	1.544463e+00
0.8040	1.566449e+00
0.8050	1.588689e+00
0.8060	1.611188e+00
0.8070	1.633948e+00
0.8080	1.656974e+00
0.8090	1.680268e+00
0.8100	1.703835e+00
0.8110	1.727677e+00
0.8120	1.751799e+00
0.8130	1.776204e+00
0.8140	1.800894e+00
0.8150	1.825875e+00
0.8160	1.851149e+00
0.8170	1.876720e+00
0.8180	1.902591e+00
0.8190	1.928765e+00
0.8200	1.955248e+00
0.8210	1.982041e+00
0.8220	2.009148e+00
0.8230	2.036573e+00
0.8240	2.064320e+00
0.8250	2.092391e+00
0.8260	2.120791e+00
0.8270	2.149522e+00
0.8280	2.178589e+00
0.8290	2.207995e+00
0.8300	2.237743e+00
0.8310	2.267837e+00
0.8320	2.298280e+00
0.8330	2.329076e+00
0.8340	2.360229e+00
0.8350	2.391742e+00
0.8360	2.423617e+00
0.8370	2.455860e+00
0.8380	2.488474e+00
0.8390	2.521461e+00
0.8400	2.554825e+00
0.8410	2.588571e+00
0.8420	2.622701e+00
0.8430	2.657219e+00
0.8440	2.692128e+00
0.8450	2.727432e+00
0.8460	2.763135e+00
0.8470	2.799239e+00
0.8480	2.835749e+00
0.8490	2.872668e+00
0.8500	2.910000e+00
0.8510	2.947747e+00
0.8520	2.985914e+00
0.8530	3.024504e+00
0.8540	3.063521e+00
0.8550	3.102967e+00
0.8560	3.142847e+00
0.8570	3.183164e+00
0.8580	3.223922e+00
0.8590	3.265123e+00
0.8600	3.306772e+00
