#Temperature (K) densities in kg/m^3
#source http://pages.uoregon.edu/rjd/table.htm (Russel J.Donnelly) up to 2.1K
#source http://webbook.nist.gov/chemistry/fluid/ from 2.1K 
#the data point for P=5atm and T=2.1K is added manually
#P(atm)	SVP	2.5	5
3.8566	131.18	137.99	144.53
3.8707	130.96	137.8	144.39
3.8848	130.75	137.61	144.25
3.899	130.53	137.42	144.1
3.9131	130.31	137.23	143.96
3.9272	130.08	137.04	143.81
3.9413	129.86	136.84	143.67
3.9554	129.63	136.64	143.52
3.9695	129.4	136.44	143.37
3.9836	129.17	136.24	143.22
3.9978	128.93	136.04	143.07
4.0119	128.7	135.84	142.92
4.026	128.46	135.63	142.76
4.0401	128.22	135.42	142.61
4.0542	127.98	135.21	142.46
4.0683	127.73	135	142.3
4.0825	127.48	134.78	142.14
4.0966	127.23	134.57	141.98
4.1107	126.98	134.35	141.83
4.1248	126.73	134.13	141.67
4.1389	126.47	133.9	141.5
4.153	126.21	133.68	141.34
4.1672	125.95	133.45	141.18
4.1813	125.68	133.22	141.01
4.1954	125.41	132.99	140.85
4.2095	125.14	132.75	140.68
4.2236	124.87	132.52	140.52
4.2377	124.59	132.28	140.35
4.2519	124.31	132.03	140.18
4.266	124.03	131.79	140.01
4.2801	123.74	131.54	139.83
4.2942	123.45	131.29	139.66
4.3083	123.16	131.04	139.49
4.3224	122.86	130.79	139.31
4.3365	122.56	130.53	139.13
4.3507	122.26	130.27	138.96
4.3648	121.95	130	138.78
4.3789	121.64	129.74	138.6
4.393	121.33	129.47	138.42
4.4071	121.01	129.19	138.23
4.4212	120.69	128.92	138.05
4.4354	120.36	128.64	137.86
4.4495	120.03	128.35	137.68
4.4636	119.7	128.07	137.49
4.4777	119.36	127.78	137.3
4.4918	119.01	127.48	137.11
4.5059	118.66	127.18	136.92
4.5201	118.31	126.88	136.73
4.5342	117.95	126.58	136.53
4.5483	117.59	126.27	136.34
4.5624	117.22	125.95	136.14
4.5765	116.84	125.63	135.94
4.5906	116.46	125.31	135.74
4.6048	116.07	124.98	135.54
4.6189	115.68	124.65	135.34
4.633	115.28	124.31	135.13
4.6471	114.87	123.97	134.93
4.6612	114.45	123.62	134.72
4.6753	114.03	123.26	134.51
4.6894	113.6	122.9	134.3
4.7036	113.16	122.54	134.09
4.7177	112.71	122.16	133.88
4.7318	112.25	121.78	133.66
4.7459	111.79	121.4	133.44
4.76	111.31	121.01	133.23
4.7741	110.82	120.61	133.01
4.7883	110.33	120.2	132.79
4.8024	109.82	119.78	132.56
