#T (K) Thermal Conductivity W/(cm-K) source pobell (I think it is SVP)	digitized with http://arohatgi.info/WebPlotDigitizer/app/
#source for the 0.1-0.7K data : http://dx.doi.org/10.1103/PhysRevB.23.2152
0.1236063215717315	0.005101744967300036
0.16473330814978085	0.011890731654628091
0.20619799212040293	0.023136655527260762
0.2694019015056717	0.04983005459088019
0.3338762097721336	0.09267954809906956
0.41651370525014586	0.17433168046082487
0.47844787534741556	0.258744765231789
0.5532819086006571	0.40631808225354776
0.5950125695711962	0.5207906371990914
0.6274973952451578	0.6983283018335845
0.6530643191284231	0.8950692995718765
0.6708195770603835	1.1472384105477802
0.6890952424080002	1.5040089680085256
0.7077913860872806	1.8847237999382167
0.7270743035071054	2.470839078664307
0.7575058054954467	4.917407426069952
0.7943149964243672	9.354669881230622
0.8442055350009531	20.60719959072434
0.9092700544704946	49.683067772371324
0.9657468761196901	83.48379228687988
0.9791240548615147	85.06947762845374
1.0474165183551631	105.8640784577174
1.1204101939283675	122.46387146010883
1.1824444611551646	136.59786963276906
1.247947983933103	158.02929901110898
1.3171166779033698	189.6221415652494
1.4089836299979275	235.97386314818027
1.46716777479686	273.0183980395382
1.5277969699182958	327.6254810756734
1.6125659122867873	422.9067306770067
1.6792035354827772	507.49334873809244
1.7251834042334326	587.2089826402347
1.7965246037325422	730.8633664987702
1.8210555787516518	845.732176348077
1.9220425538756667	1052.5482980577676
1.9746718287032534	1217.8796368840362
2.028517371377849	1217.6871437642258
2.0838311795251045	1217.4946810690967
2.1406236352231915	1195.2797208610964
2.198963904897723	1173.4701048937868
